comparison_source,metric,epicentral_distance_km,kernel_bandwidth_km,pairs_within_200_km,effective_pair_count,systematic_mean_signed_change,empirical_standard_deviation,weighted_negative_percent,weighted_unchanged_percent,weighted_positive_percent
global_cmt,loss_ratio,124.0,15.0,1480,496.19509100010987,7.972410441759492e-13,4.912559125567301e-09,3.705102809783029e-07,99.99201380224338,0.007985827246330138
global_cmt,loss_ratio,125.0,15.0,1480,499.37199166919186,6.616872113105349e-13,3.885648828678924e-09,2.578129288258717e-07,99.99337440562846,0.006625336558600709
global_cmt,loss_ratio,126.0,15.0,1480,502.5113529743357,5.466141652118578e-13,3.0668836397082598e-09,1.7858922693472866e-07,99.99452836271139,0.005471458699388429
global_cmt,loss_ratio,127.0,15.0,1480,505.62901543896197,4.494491640866838e-13,2.415510377746342e-09,1.231536500861185e-07,99.99550205961953,0.004497817226829592
global_cmt,loss_ratio,128.0,15.0,1480,508.74177713421295,3.678384791518708e-13,1.8984522807042616e-09,8.454295736978558e-08,99.9963194595844,0.0036804558726285606
global_cmt,loss_ratio,129.0,15.0,1480,511.86671440462004,2.9965072418335166e-13,1.4889242698374715e-09,5.777548728036157e-08,99.99700215068542,0.0029977915391080022
global_cmt,loss_ratio,130.0,15.0,1480,515.0204461617122,2.4297386616526186e-13,1.1652862410891973e-09,3.930474215908348e-08,99.99756942901298,0.002430531682269842
global_cmt,loss_ratio,131.0,15.0,1480,518.2183809965574,1.9610756797377227e-13,9.10095585496469e-10,2.66183841110402e-08,99.99803841009756,0.00196156328405825
global_cmt,loss_ratio,132.0,15.0,1480,521.473987098279,1.5755217728741129e-13,7.093261131546447e-10,1.7945481827479546e-08,99.99842416172191,0.001575820332617494
global_cmt,loss_ratio,133.0,15.0,1480,524.7981234815502,1.2599542169081274e-13,5.517256616457834e-10,1.2043910621803448e-08,99.9987398516874,0.0012601362686919357
global_cmt,loss_ratio,134.0,15.0,1480,528.198467840048,1.0029767004570408e-13,4.28289028097407e-10,8.046778351466838e-09,99.99899690469712,0.001003087256092984
global_cmt,loss_ratio,135.0,15.0,1480,531.6790719215902,7.947645670346141e-14,3.3182657721857737e-10,5.352080289628075e-09,99.99920516321349,0.0007948314344217305
global_cmt,loss_ratio,136.0,15.0,1480,535.2400699789554,6.269082703149373e-14,2.566120356631859e-10,3.54383866416816e-09,99.99937304790268,0.0006269485534857672
global_cmt,loss_ratio,137.0,15.0,1480,538.8775597074385,4.922594358393685e-14,1.9809566406210167e-10,2.3360456680595802e-09,99.99950771405457,0.0004922836093763148
global_cmt,loss_ratio,138.0,15.0,1480,542.5836680790592,3.8478288492636986e-14,1.5267126983507882e-10,1.5330300974038143e-09,99.99961520113101,0.00038479733594989804
global_cmt,loss_ratio,139.0,15.0,1480,546.3468064672808,2.994170739640335e-14,1.174874451125372e-10,1.0015863915893067e-09,99.99970057331775,0.00029942568066482266
global_cmt,loss_ratio,140.0,15.0,1480,550.1521102857173,2.3194462458667928e-14,9.029503547552768e-11,6.514804687332386e-10,99.99976804961659,0.00023194973193619645
global_cmt,loss_ratio,141.0,15.0,1480,553.982048051589,1.7887396110524738e-14,6.93242105387712e-11,4.218877409760548e-10,99.99982112259691,0.00017887698119322396
global_cmt,loss_ratio,142.0,15.0,1480,557.8171736139242,1.3733252527073523e-14,5.318565442340383e-11,2.7200854861622044e-10,99.99986266542297,0.0001373343050099355
global_cmt,loss_ratio,143.0,15.0,1480,561.6369838915025,1.04971598351172e-14,4.079135544833489e-11,1.7460885589531473e-10,99.99989502718171,0.00010497264368909127
global_cmt,loss_ratio,144.0,15.0,1480,565.4208338343994,7.98824184040483e-15,3.12912779468016e-11,1.1159795445060001e-10,99.99992011685796,7.988303043656942e-05
global_cmt,loss_ratio,145.0,15.0,1480,569.1488517136039,6.052302682207899e-15,2.4022869084707133e-11,7.10167618730523e-11,99.9999394765449,6.052338406739884e-05
global_cmt,loss_ratio,146.0,15.0,1480,572.8027926087782,4.565510188198349e-15,1.8470910555242305e-11,4.499753855095019e-11,99.99995434464522,4.565530980008758e-05
global_cmt,loss_ratio,147.0,15.0,1480,576.3667673130374,3.4289926696901773e-15,1.4235686600396937e-11,2.838890585276668e-11,99.99996570992425,3.429004737086127e-05
global_cmt,loss_ratio,148.0,15.0,1480,579.8277886074759,2.56425831842141e-15,1.1007820731273574e-11,1.78340269290679e-11,99.99997435732912,2.564265303865441e-05
global_cmt,loss_ratio,149.0,15.0,1480,583.1760871516784,1.909345138451773e-15,8.548446072344052e-12,1.1155781377283804e-11,99.99998090649713,1.9093491721069473e-05
global_cmt,loss_ratio,150.0,15.0,1480,586.4051645161751,1.4156114516601129e-15,6.673628691551506e-12,6.948793198638375e-12,99.99998584385528,1.4156137754331237e-05
global_cmt,loss_ratio,151.0,15.0,1480,589.5115698489863,1.045081544691864e-15,5.242168556029376e-12,4.310092873275132e-12,99.99998954916688,1.045082880502165e-05
global_cmt,loss_ratio,152.0,15.0,1480,592.494407465746,7.682671967890393e-16,4.1460675399358184e-12,2.6622005140511575e-12,99.99999231731769,7.682679631216004e-06
global_cmt,loss_ratio,153.0,15.0,1480,595.3546031585201,5.623929902390212e-16,3.3030873623434544e-12,1.6374981954387203e-12,99.99999437606407,5.623934290473414e-06
global_cmt,loss_ratio,154.0,15.0,1480,598.0939751814959,4.0996093433457274e-16,2.6509317508579556e-12,1.0030344664162739e-12,99.99999590038713,4.099611851641193e-06
global_cmt,loss_ratio,155.0,15.0,1480,600.7141700255573,2.975976245048458e-16,2.142684024517604e-12,6.118639376155074e-13,99.99999702402171,2.975977676532575e-06
global_cmt,loss_ratio,156.0,15.0,1480,603.2155321717319,2.1513461125484904e-16,1.7432169599734065e-12,3.7171222520072146e-13,99.99999784865271,2.151346928288426e-06
global_cmt,loss_ratio,157.0,15.0,1480,605.5959806288593,1.5487966036464644e-16,1.426364783459185e-12,2.248955439249272e-13,99.99999845120271,1.5487970678648384e-06
global_cmt,loss_ratio,158.0,15.0,1480,607.8499634504344,1.11043013683972e-16,1.1727038623069434e-12,1.3551455904387126e-13,99.99999888956945,1.1104304006795042e-06
global_cmt,loss_ratio,159.0,15.0,1480,609.9675552922395,7.928853668527504e-17,9.678275850490327e-13,8.132636097266128e-14,99.9999992071144,7.928855166282298e-07
