receiver_id,latitude,longitude,vs30_3arcsec,direct_cell_status_3arcsec,direct_3arcsec,fallback_3arcsec,fallback_distance_3arcsec_m,vs30_9arcsec,direct_cell_status_9arcsec,direct_9arcsec,fallback_9arcsec,fallback_distance_9arcsec_m,fallback_category
171,41.42856530103737,27.19423644754487,391.9964294433594,valid,True,False,,393.7810974121094,valid,True,False,,neither
172,41.32459277417623,27.778001842368653,394.1825866699219,valid,True,False,,392.4464416503906,valid,True,False,,neither
173,41.21721809479402,28.360027310851105,346.375,valid,True,False,,349.6066589355469,valid,True,False,,neither
174,41.1064575358912,28.94027026737205,572.4337768554688,valid,True,False,,594.7554321289062,valid,True,False,,neither
175,40.99232771054403,29.51868953397133,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
176,40.87484555531893,30.095245355730786,471.5147705078125,valid,True,False,,471.40081787109375,valid,True,False,,neither
177,40.75402831358981,30.66989941399068,282.9564514160156,valid,True,False,,283.1601257324219,valid,True,False,,neither
178,40.62989351878622,31.24261483743329,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
179,40.50245897760074,31.81335621107146,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
180,40.37174275318224,32.38208958318474,537.5924072265625,valid,True,False,,525.3312377929688,valid,True,False,,neither
181,40.23776314834132,32.948782470250165,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
182,40.10053868879341,33.513403859918775,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
183,39.96008810646402,34.075924212092694,503.08624267578125,valid,True,False,,498.0765686035156,valid,True,False,,neither
184,39.81643032287921,34.636315458161214,437.621826171875,valid,True,False,,437.4578552246094,valid,True,False,,neither
185,39.66958443266434,35.194550998457146,617.5223999023438,valid,True,False,,616.9863891601562,valid,True,False,,neither
186,39.51956968717203,35.75060569799753,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
187,39.366405478259885,36.30445588057545,454.47149658203125,valid,True,False,,448.3022155761719,valid,True,False,,neither
188,39.21011132223724,36.85607932127117,441.4461364746094,valid,True,False,,441.9340515136719,valid,True,False,,neither
189,39.050706843999045,37.4054552374532,456.03594970703125,valid,True,False,,464.6650695800781,valid,True,False,,neither
190,38.88821176136395,37.95256427834092,619.1500244140625,valid,True,False,,619.1500244140625,valid,True,False,,neither
191,38.72264586963246,38.497388513201685,458.8225402832031,valid,True,False,,463.3088073730469,valid,True,False,,neither
192,38.55402902637986,39.03991141825595,357.9612731933594,valid,True,False,,357.75457763671875,valid,True,False,,neither
193,38.38238113649788,39.58011786236474,619.1500244140625,valid,True,False,,619.1500244140625,valid,True,False,,neither
194,38.20772213749719,40.11799409157385,486.7130432128906,valid,True,False,,487.0408020019531,valid,True,False,,neither
195,38.0300719850824,40.65352771258926,427.0920104980469,valid,True,False,,428.0439147949219,valid,True,False,,neither
196,37.84945063900995,41.1867076752579,380.04217529296875,valid,True,False,,387.1775817871094,valid,True,False,,neither
197,37.66587804923799,41.7175242541276,514.1657104492188,valid,True,False,,512.5012817382812,valid,True,False,,neither
198,37.47937414237634,42.24596902915907,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
199,41.86714480472202,27.32030359889184,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
200,41.76230564320424,27.90793197350734,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
201,41.06191479063402,31.39460201858199,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
202,40.93345450667417,31.96882470353246,567.1151733398438,valid,True,False,,594.1270141601562,valid,True,False,,neither
203,40.801691908159086,32.54098176438588,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
204,40.666645835463534,33.11104011893139,388.73638916015625,valid,True,False,,354.2043762207031,valid,True,False,,neither
205,40.52833535453819,33.67896821343401,451.7929992675781,valid,True,False,,448.244140625,valid,True,False,,neither
206,40.38677973958139,34.24473602295546,450.39483642578125,valid,True,False,,452.1221618652344,valid,True,False,,neither
207,40.24199845581047,34.80831504974517,417.4193115234375,valid,True,False,,419.39495849609375,valid,True,False,,neither
208,40.09401114235636,35.36967831976815,582.2203369140625,valid,True,False,,580.7123413085938,valid,True,False,,neither
209,39.94283759530382,35.928800377439245,532.8096313476562,valid,True,False,,535.7010498046875,valid,True,False,,neither
210,39.78849775089813,36.48565727863619,435.0435485839844,valid,True,False,,429.4677429199219,valid,True,False,,neither
211,39.63101166893865,37.04022658206525,458.09832763671875,valid,True,False,,457.5965576171875,valid,True,False,,neither
212,39.47039951637768,37.59248733905582,474.547119140625,valid,True,False,,476.6583251953125,valid,True,False,,neither
213,39.30668155114245,38.14242008186092,479.39093017578125,valid,True,False,,476.82525634765625,valid,True,False,,neither
214,39.13987810619656,38.69000681054206,469.7297058105469,valid,True,False,,459.8590087890625,valid,True,False,,neither
215,38.97000957385584,39.23523097851778,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
216,38.79709639037304,39.77807747685498,522.6787109375,valid,True,False,,523.709716796875,valid,True,False,,neither
217,38.62115902080354,40.3185326173833,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
218,38.44221794416428,40.8565841147114,434.6419982910156,valid,True,False,,435.7065124511719,valid,True,False,,neither
219,38.26029363889579,41.3922210672249,596.8406372070312,valid,True,False,,582.1966552734375,valid,True,False,,neither
220,38.07540656863709,41.92543393714404,619.1500244140625,valid,True,False,,619.1500244140625,valid,True,False,,neither
221,37.88757716832112,42.45621452971892,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
222,37.6968258305983,42.98455597163872,567.3203735351562,valid,True,False,,568.3587036132812,valid,True,False,,neither
223,37.503172892593774,43.5104526887302,600.7100219726562,valid,True,False,,600.7100219726562,valid,True,False,,neither
224,41.36387268192554,32.12724807530359,533.7816772460938,valid,True,False,,537.5999755859375,valid,True,False,,neither
225,41.23104397401816,32.70288003523498,449.63427734375,valid,True,False,,450.1291809082031,valid,True,False,,neither
226,41.09491145873179,33.2763531496317,576.5399780273438,valid,True,False,,576.5399780273438,valid,True,False,,neither
227,40.95549475971331,33.847635325026566,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
228,40.81281371072964,34.41669605582694,449.4459228515625,valid,True,False,,449.4459228515625,valid,True,False,,neither
229,40.66688833779436,34.98350642177497,537.5999755859375,valid,True,False,,537.5999755859375,valid,True,False,,neither
230,40.51773884143387,35.548039083457624,435.9992370605469,valid,True,False,,437.2521057128906,valid,True,False,,neither
231,40.3653855791167,36.110268275942175,359.4662170410156,valid,True,False,,364.2544250488281,valid,True,False,,neither
